511100,Bene-FICA,"36,945","42,716","42,716","33,600"
511115,Bene-Health Insurance,"25,132","33,889","33,889","34,860"
511120,Bene-Dental Insurance,186,180,180,160
511125,Bene-VRS Life Insurance,"1,163","1,563","1,563","5,226"
511140,Bene-Retirement VRS,"55,020","73,989","73,989","36,325"
511145,Bene-Retirement PSRS,"24,300","23,658","23,658","26,605"
511166,Bene-Allowance for Vacancy,0,"-2,213","-2,213","-1,910"
,Sav,,,,
521903,Contractual-Freelance,"6,124","8,000",0,"8,000"
521905,Contractual-Other,"147,974","122,699","230,699","222,699"
522110,Maint-Equipment,"10,786","16,000","16,000","16,000"
531914,Supp-Office and Printing,"35,619","30,713","30,713","30,713"
531918,Supp-Video,"1,900",0,0,0
536110,Dues-Memberships,"5,740","5,500","5,500","5,500"
542020,Tele-Telephone Cellular,0,"2,400","2,400","2,400"
554040,Advertising-Co-Op,"9,012","10,000","10,000","10,000"
554206,Marketing-Economic Dev,"115,000","115,000","115,000","115,000"
554208,Marketing-Museums,"130,200","130,000","130,000","130,000"
554209,Marketing-Attractions,"48,757","40,000","40,000","40,000"
554299,Marketing-Other,"286,381","305,756","305,756","305,756"
555205,Travel-Mileage,0,"4,500",0,"4,500"
555210,Travel,"2,961","8,741","13,241","8,741"
556124,Civ Orgs-UMOJA,"33,472","31,000","31,000","31,000"
610101,Computer Service Charges,"13,724","16,122","16,122","15,649"
610102,Telecommunications Charges,"3,247","2,563","2,563","3,225"
620101,Garage Equip Rental Charges,"3,996","5,775","5,775","5,775"
620102,Motor Pool Charges,"3,120",0,0,0
GovMax V5,,,,18-8,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
0117 Marketing and Communications,0117 Marketing and Communications,,,,
100-10-102-1022-000000-000 Marketing and Communications,100-10-102-1022-000000-000 Marketing and Communications,100-10-102-1022-000000-000 Marketing and Communications,,,
630101,Risk Management Charges,"5,814","5,843","5,843","8,870"
850102,Cap-Equipment,"66,091","75,000","75,000","75,000"
,Communications,,,,
100-10-102-1022-000000-000 Marketing,100-10-102-1022-000000-000 Marketing,"1,566,907","1,665,697","1,665,697","1,639,793"
0117 Marketing and Communications,0117 Marketing and Communications,"1,566,907","1,665,697","1,665,697","1,639,793"
0120 City Auditor,0120 City Auditor,,,,
100-10-100-1015-000000-000 City Auditor,100-10-100-1015-000000-000 City Auditor,,,,
501000,Sal-Full-time,0,0,0,"90,000"
511100,Bene-FICA,0,0,0,"6,885"
511115,Bene-Health Insurance,0,0,0,"10,263"
511120,Bene-Dental Insurance,0,0,0,36
511125,Bene-VRS Life Insurance,0,0,0,"1,071"
511140,Bene-Retirement VRS,0,0,0,"7,443"
531914,Supp-Office and Printing,0,0,0,"1,000"
536110,Dues-Memberships,0,0,0,"1,000"
555100,Training,0,0,0,"2,000"
555210,Travel,0,0,0,"2,000"
,100-10-100-1015-000000-000 City,0,0,0,"121,698"
,0120 City Auditor,0,0,0,"121,698"
0201 Non-Departmental,0201 Non-Departmental,,,,
100-10-114-1143-000000-000 Non-Departmental,100-10-114-1143-000000-000 Non-Departmental,,,,
501000,Sal-Full-time,0,0,0,"1,613,282"
510099,Sal-Allow for Salary Savings,0,"-22,500","-22,500",0
511115,Bene-Health Insurance,"491,496","491,496","491,496","1,725,485"
511125,Bene-VRS Life Insurance,-18,"134,464","134,464",0
511130,Bene-Unemployment,"71,663","95,000","95,000","95,000"
511145,Bene-Retirement PSRS,"23,022","22,641","22,641","25,184"
511155,Bene-Retiree Gratuity Life Ins,"227,345","150,000","150,000","150,000"
521305,Contractual-Jail Per Diem,"3,553,860","3,924,630","3,989,806","4,275,063"
521905,Contractual-Other,"9,004",0,0,0
541080,Util-Water Hydrant Chgs,"298,440","298,440","298,440","298,440"
542010,Tele-Telephone,"507,989","621,500","621,500","621,500"
542020,Tele-Telephone Cellular,"73,278","180,000","180,000","180,000"
555105,Training-Department Head,0,"10,000","10,000","10,000"
555228,Purchase Card,"100,836",0,0,0
555310,Contingency-Public Health Dept,0,0,"100,473",0
555405,RETIREE BONUS,"612,840",0,0,0
555410,Line of Duty for Public Safety,"134,339","295,000","295,000","295,000"
556103,Civ Orgs-Eastern VA Med,"45,000","45,000","45,000","45,000"
,School,,,,
556106,Civ Orgs-HR Planning District,"183,894","183,757","183,757","183,757"
556108,Civ Orgs-Sports Hall of Fame,"550,000","350,000","350,000","850,000"
556112,Civ Orgs-Milit/Fed Fac Allianc,"49,257","49,257","49,257","49,257"
556114,Civ Orgs-Comm. Health Center,"76,198","76,198","76,198","76,198"
556119,Civ Orgs-Portsmouth Partnersh,"25,000","25,000","25,000","25,000"
556130,Civ Orgs-Natl League Cities,"8,743","7,816","7,816","7,816"
558132,PA-Hospitalization of Indigent,0,"10,000","10,000","10,000"
560100,Sr Citizen Tax Relief,"1,982,641","2,500,000","2,500,000","2,000,000"
560110,Business Retention,"73,750",0,0,0
560130,Outside Agency-CCDI,0,0,"161,792",0
560135,Enterprise Zone Rebates,0,0,0,"40,000"
560200,State Aid Budget Reductions,"1,123,481","1,124,384","1,124,384",0
GovMax V5,,,,18-9,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
0201 Non-Departmental,0201 Non-Departmental,,,,
100-10-114-1143-000000-000 Non-Departmental,100-10-114-1143-000000-000 Non-Departmental,,,,
560300,Emergency Drought,0,"50,000","50,000","50,000"
,Funding-Golf,,,,
560600,Recreation Initiatives,"58,152",0,0,0
590000,Bad Debt Expense,"-69,401",0,0,0
610101,Computer Service Charges,"29,164","30,146","30,146","43,583"
610102,Telecommunications Charges,"9,622","15,297","15,297","11,801"
620102,Motor Pool Charges,"4,066",0,0,0
620103,Garage Contractual Charges,0,"3,851","3,851","3,851"
630101,Risk Management Charges,"904,544","908,929","908,929","918,426"
,100-10-114-1143-000000-000,"11,158,205","11,580,306","11,907,747","13,603,643"
,0201 Non-Departmental,"11,158,205","11,580,306","11,907,747","13,603,643"
0202 Transfers and Contingencies,0202 Transfers and Contingencies,,,,
100-10-114-1141-000000-000 Contingencies,100-10-114-1141-000000-000 Contingencies,,,,
559900,Contingency-Other Operating,"8,664","477,231","477,231","390,497"
980950,Trans to Public Schools Oper,"49,571,413","48,871,532","53,771,532","47,300,000"
990300,Trans to CIP Fund,"2,495,000",0,"300,000","4,516,039"
990305,Transfer to Courts Cap Reserve,"1,818,803",0,0,0
990400,Trans to BHS Fund,"365,988","595,731","595,731","692,413"
990410,Trans to Social Services Fund,"5,042,639","4,772,167","4,772,167","4,772,167"
990415,Trans to Community Services,"911,667","2,764,093","2,764,093","1,529,079"
990425,Trans to Grants Fund,"3,593",0,0,0
990430,Trans to Donations Fund,0,"47,000","47,000",0
990435,Trans to Willett Hall Fund,"2,683",0,0,"92,812"
990720,Trans to Golf Fund,"611,460","1,116,739","1,116,739","1,271,332"
990740,Trans to Waste Management,0,0,0,"280,000"
,Fund,,,,
990750,Trans to Parking Authority,"124,238","261,475","261,475","64,397"
,100-10-114-1141-000000-000,"60,956,148","58,905,968","64,105,968","60,908,736"
,0202 Transfers and Contingencies,"60,956,148","58,905,968","64,105,968","60,908,736"
0203 Public Transportation,0203 Public Transportation,,,,
100-10-112-1120-000000-000 Public Transportation,100-10-112-1120-000000-000 Public Transportation,100-10-112-1120-000000-000 Public Transportation,,,
556109,Civ Orgs-HRT,"1,677,597","2,773,549","2,773,549","3,047,838"
,100-10-112-1120-000000-000 Public,"1,677,597","2,773,549","2,773,549","3,047,838"
,0203 Public Transportation,"1,677,597","2,773,549","2,773,549","3,047,838"
0204 Debt Service,0204 Debt Service,,,,
100-10-114-1140-000000-000 Debt Service,100-10-114-1140-000000-000 Debt Service,,,,
710100,DS-Bond Principal,"7,446,233","7,751,658","7,751,658","10,068,559"
710110,DS-VPSA Principal,"576,149","985,540","985,540","996,009"
710120,DS-BHS Bldg Principal,0,"145,000","145,000","150,000"
710130,DS-Lease Purchase Principal,"476,812",0,0,0
710140,DS-Literary Loan Principal,"375,000","250,000","250,000","250,000"
710160,DS-QZAB Principal,"601,985","52,897","52,897","52,897"
710170,DS-Human Svcs Bldg Principal,"599,140","651,713","651,713","708,899"
720100,DS-Bond Interest,"10,485,986","9,819,935","9,819,935","10,439,396"
720110,DS-VPSA Interest,"317,101","296,211","296,211","274,241"
720120,DS-BHS Bldg Interest,"181,291","178,392","178,392","172,492"
720130,DS-Lease Purchase Interest,"5,838",0,0,0
720140,DS-Literary Loan Interest,"37,500","30,000","30,000","25,000"
720150,DS-Note Payable Interest,"711,100","1,621,100","1,621,100","1,621,100"
720160,DS-Human Svcs Bldg Interest,"982,709","907,895","907,895","826,515"
GovMax V5,,,,18-10,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
0204 Debt Service,0204 Debt Service,,,,
100-10-114-1140-000000-000 Debt Service,100-10-114-1140-000000-000 Debt Service,,,,
770100,DS-Cost of Issuance,"293,291","250,000","250,000",0
770101,Fiscal Charges,"14,338","7,500","7,500","15,000"
790100,DS-Pymt to Escrow Agent,"33,175,221",0,0,0
,100-10-114-1140-000000-000 Debt,"56,279,695","22,947,841","22,947,841","25,600,108"
,0204 Debt Service,"56,279,695","22,947,841","22,947,841","25,600,108"
0205 Support to Civic & Cultural Organizations,0205 Support to Civic & Cultural Organizations,0205 Support to Civic & Cultural Organizations,,,
100-10-114-1142-000000-000 Support to Civic Orgs,100-10-114-1142-000000-000 Support to Civic Orgs,100-10-114-1142-000000-000 Support to Civic Orgs,,,
521905,Contractual-Other,"-2,900",0,0,0
556115,Civ Orgs-Community Concerts,"14,000",0,0,0
556117,Civ Orgs-Portsmouth Homeless,"24,030","24,030","24,030","24,030"
556118,Civ Orgs-Museum & Fine Arts,"37,500","77,858","77,858","125,000"
556127,Civ Orgs-Virginia Arts Fest,"12,108",0,0,0
556128,Civ Orgs-Virginia Symphony,"10,000",0,0,0
556129,Civ Orgs-WHRO,"1,184",0,0,0
556131,Civ Orgs-Food Bank,"10,680","10,680","10,680","10,680"
556132,Civ Orgs-Friends of the J&D Ct,"23,140","23,140","23,140","23,140"
556135,Civ Orgs-American Red Cross,"21,360","14,240","14,240","15,000"
556138,Civ Orgs-Tidewater Winds,"1,750",0,0,0
556144,Civ Orgs-CHKD,0,0,0,"15,000"
556145,Civ Orgs-HER Shelter,"39,160","39,160","39,160","39,160"
556146,Civ Orgs-Parc,"92,916","92,916","92,916","92,916"
556147,Civ Orgs-Flag Associates,"2,500","2,500","2,500","2,500"
556154,Oasis Shelter,"17,000","17,000","17,000","17,000"
556155,Civ Orgs-National Night Out,0,"1,500","1,500","1,500"
556156,Civ Orgs-Westmoreland,"5,000","5,000","5,000","5,000"
,Athletics,,,,
556157,Civ Orgs-Portsmouth Schools,"10,000","10,000","10,000","10,000"
556158,Civ Orgs-Starbase Victory,"10,000","10,000","10,000","10,000"
556159,Civ Orgs - Planning Council for,0,0,0,"25,000"
,the Healing Place,,,,
100-10-114-1142-000000-000 Support,100-10-114-1142-000000-000 Support,"329,428","328,024","328,024","415,926"
,0205 Support to Civic & Cultural,"329,428","328,024","328,024","415,926"
0301 Circuit Court Judges,0301 Circuit Court Judges,,,,
100-15-200-2000-000000-000 Circuit Court Judges,100-15-200-2000-000000-000 Circuit Court Judges,100-15-200-2000-000000-000 Circuit Court Judges,,,
501000,Sal-Full-time,"366,241","368,781","368,781","364,570"
501200,Accrued Payroll,"1,751",0,0,0
510099,Sal-Allow for Salary Savings,0,"-17,571","-17,571",0
511100,Bene-FICA,"26,159","26,883","26,883","27,889"
511115,Bene-Health Insurance,"50,521","57,744","57,744","49,775"
511120,Bene-Dental Insurance,222,168,168,196
511125,Bene-VRS Life Insurance,983,983,983,"4,339"
511140,Bene-Retirement VRS,"44,212","44,242","44,242","30,149"
511145,Bene-Retirement PSRS,0,"49,018","49,018",0
511166,Bene-Allowance for Vacancy,0,"-1,394","-1,394",0
,Sav,,,,
522115,Maint-Office Equipment,0,"1,050","1,050","1,050"
523999,Rentals-Other,"8,450","10,508","10,508","5,650"
524110,Repairs-Office Equipment,421,525,525,525
531001,Supp-Postage,720,"1,000","1,000","1,000"
531914,Supp-Office and Printing,"12,190","11,000","11,000","11,000"
533020,Noncap-Furniture,0,"2,180","2,180","1,000"
535100,Books and Publications,"7,606","10,000","10,000","13,389"
GovMax V5,,,,18-11,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
0301 Circuit Court Judges,0301 Circuit Court Judges,,,,
100-15-200-2000-000000-000 Circuit Court Judges,100-15-200-2000-000000-000 Circuit Court Judges,100-15-200-2000-000000-000 Circuit Court Judges,,,
536110,Dues-Memberships,475,500,500,"3,149"
555100,Training,"6,605","7,000","7,000","7,000"
555210,Travel,"10,312","14,311","14,311","14,311"
610101,Computer Service Charges,"5,369","5,601","5,601","6,315"
610102,Telecommunications Charges,"6,352","25,820","25,820","7,237"
630101,Risk Management Charges,"5,851","5,879","5,879","6,445"
100-15-200-2000-000000-000 Circuit,100-15-200-2000-000000-000 Circuit,"554,440","624,228","624,228","554,989"
,0301 Circuit Court Judges,"554,440","624,228","624,228","554,989"
0302 Circuit Court Clerk,0302 Circuit Court Clerk,,,,
100-15-201-2010-000000-000 Circuit Court Clerk,100-15-201-2010-000000-000 Circuit Court Clerk,100-15-201-2010-000000-000 Circuit Court Clerk,,,
501000,Sal-Full-time,"849,791","873,965","848,582","870,517"
501100,Sal-Part-time,0,0,"25,383","25,000"
501200,Accrued Payroll,"3,253",0,0,0
510012,Allow-Other Supplements,"36,463","37,000","37,000","39,282"
510099,Sal-Allow for Salary Savings,0,"-41,593","-41,593",0
511100,Bene-FICA,"61,943","62,302","62,302","67,731"
511115,Bene-Health Insurance,"139,035","162,047","162,047","153,638"
511120,Bene-Dental Insurance,734,756,756,580
511125,Bene-VRS Life Insurance,"2,407","2,326","2,326","10,761"
511140,Bene-Retirement VRS,"109,173","105,433","105,433","74,789"
511145,Bene-Retirement PSRS,"57,802","52,853","52,853","56,306"
511166,Bene-Allowance for Vacancy,0,"-3,237","-3,237",0
,Sav,,,,
521302,Contractual-Court-Apptd Attnys,948,"1,227","1,227","1,227"
521306,Contractual-Jurors,"48,187","50,000","50,000","50,000"
521905,Contractual-Other,"28,818","40,000","40,000","106,000"
522130,Maint-Security System,306,400,400,400
531001,Supp-Postage,"6,248","9,516","9,516","9,516"
531914,Supp-Office and Printing,"16,648","26,610","26,610","26,610"
535100,Books and Publications,728,"1,000","1,000","1,000"
536110,Dues-Memberships,630,"1,119","1,119","1,119"
542010,Tele-Telephone,"4,252","6,000","6,000","6,000"
555210,Travel,"3,375","4,202","4,202","4,602"
610101,Computer Service Charges,"25,121","25,959","25,959","34,306"
610102,Telecommunications Charges,"4,747","25,999","25,999","6,866"
630101,Risk Management Charges,"17,553","17,638","17,638","19,115"
100-15-201-2010-000000-000 Circuit,100-15-201-2010-000000-000 Circuit,"1,418,160","1,461,522","1,461,522","1,565,365"
,0302 Circuit Court Clerk,"1,418,160","1,461,522","1,461,522","1,565,365"
0303 Magistrate,0303 Magistrate,,,,
100-15-202-2020-000000-000 Magistrate,100-15-202-2020-000000-000 Magistrate,,,,
522115,Maint-Office Equipment,0,501,501,501
523999,Rentals-Other,0,"1,785","1,785","1,785"
524110,Repairs-Office Equipment,0,430,430,430
531914,Supp-Office and Printing,223,300,300,300
531999,Supp-Other,"1,470",537,537,537
535100,Books and Publications,747,856,856,856
536110,Dues-Memberships,175,200,200,200
542010,Tele-Telephone,0,105,105,105
542020,Tele-Telephone Cellular,549,525,525,525
610101,Computer Service Charges,"4,160","4,292","4,292","5,423"
610102,Telecommunications Charges,738,596,596,"1,081"
GovMax V5,,,,18-12,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
0303 Magistrate,0303 Magistrate,,,,
,100-15-202-2020-000000-000,"8,061","10,127","10,127","11,743"
,0303 Magistrate,"8,061","10,127","10,127","11,743"
0304 General District Court,0304 General District Court,,,,
100-15-203-2030-000000-000 General District Court,100-15-203-2030-000000-000 General District Court,100-15-203-2030-000000-000 General District Court,,,
521302,Contractual-Court-Apptd Attnys,"4,950","2,081","2,081","2,081"
521307,Contractual-Public Defendr Fee,"2,213","6,242","6,242","6,242"
521707,Contractual-Laundry,50,103,103,103
522115,Maint-Office Equipment,"2,802","3,772","3,772","3,772"
